device,predicate
K993566,K982395
K993560,K960417
K993552,K982226
K993552,K874787
K993551,K984350
K993551,K970285
K993550,K793550
K993547,K919354
K993547,K823884
K993544,K994544
K993539,K994553
K993539,K773537
K993536,K293536
K993536,K961432
K993536,K193536
K993536,K990827
K993536,K998027
K993535,K944025
K993532,K973534
K993531,K930548
K993531,K960272
K993531,K913576
K993531,K964239
K993531,K972502
K993531,K983575
K993531,K974903
K993531,K990966
K993531,K961139
K993531,K974178
K993531,K960418
K993531,K972282
K993528,K933048
K993524,K915522
K993524,K900699
K993524,K913895
K993524,K792538
K993524,K914589
K993522,K910971
K993522,K942922
K993520,K980182
K993520,K931595
K993520,K920186
K993519,K933092
K993519,K911240
K993519,K990566
K993517,K974269
K993517,K992155
K993517,K940942
K993517,K974813
K993516,K974567
K993516,K980429
K993516,K911139
K993516,K894277
K993516,K920429
K993516,K913533
K993516,K939351
K993512,K143512
K993510,K193510
K993503,K974749
K993501,K99354
5
K993496,K930119
K993492,K923888
K993492,K894555
K993492,K952249
K993492,K931015
K993492,K493492
K993492,K896984
K993492,K970289
K993489,K984098
K993488,K882006
K993487,K974635
K993486,K974635
K993485,K494348
K993484,K983586
K993483,K493443
K993472,K871216
K993465,K915818
K993463,K991932
K993463,K940319
K993459,K982403
K993455,K983483
K993455,K960705
K993455,K955293
K993455,K901337
K993455,K962503
K993455,K951256
K993453,K955768
K993453,K973453
K993450,K904972
K993445,K991377
K993445,K974683
K993445,K992445
K993445,K990411
K993443,K993772
K993443,K954427
K993443,K791931
K993436,K970971
K993434,K914109
K993433,K970173
K993433,K953930
K993425,K882729
K993418,K914786
K993418,K940982
K993418,K901337
K993418,K971395
K993418,K962503
K993417,K994341
K993417,K493417
K993417,K944341
K993417,K971395
K993417,K962503
K993415,K930738
K993415,K962503
K993415,K971395
K993414,K971570
K993414,K954395
K993414,K935186
K993413,K940051
K993413,K900565
K993413,K930676
K993412,K955001
K993412,K945975
K993412,K904993
K993411,K961872
K993411,K960311
K993411,K891774
K993411,K974048
K993411,K930530
K993410,K143410
K993407,K193407
K993406,K870224
K993406,K993040
K993406,K870225
K993402,K951725
K993400,K921886
K993400,K891131
K993400,K773400
K993400,K952913
K993400,K933410
K993400,K961601
K993400,K852842
K993400,K910862
K993400,K143400
K993400,K890341
K993400,K811280
K993398,K934139
K993394,K963807
K993388,K894190
K993388,K911903
K993388,K962274
K993387,K926385
K993383,K981576
K993383,K964239
K993383,K971910
K993375,K943375
K993373,K983435
K993373,K992938
K993365,K930768
K993365,K964617
K993365,K964886
K993365,K990226
K993365,K960527
K993364,K930768
K993364,K964617
K993364,K964886
K993364,K990226
K993364,K960527
K993362,K984069
K993362,K982732
K993362,K920394
K993360,K811832
K993359,K963258
K993359,K994335
K993359,K970236
K993359,K982791
K993357,K961171
K993357,K926251
K993357,K925641
K993357,K781994
K993356,K925344
K993356,K971736
K993356,K962988
K993353,K973616
K993352,K903362
K993352,K963612
K993352,K951115
K993352,K934060
K993352,K974685
K993352,K951114
K993348,K493348
K993347,K943347
K993345,K943395
K993344,K793344
K993343,K981180
K993341,K884913
K993339,K984171
K993338,K943383
K993337,K980569
K993337,K980125
K993332,K961370
K993328,K885029
K993328,K935525
K993327,K931782
K993327,K982420
K993327,K962511
K993321,K961195
K993319,K949331
K993317,K993307
K993314,K971057
K993310,K903687
K993308,K904026
K993308,K974117
K993308,K974115
K993308,K920187
K993308,K920747
K993308,K974116
K993306,K932306
K993306,K853291
K993303,K993302
K993303,K493303
K993300,K890716
K993299,K955278
K993299,K964139
K993299,K992321
K993292,K895445
K993292,K960806
K993292,K781772
K993292,K926243
K993292,K950398
K993292,K960832
K993292,K925813
K993292,K921399
K993292,K964611
K993289,K443254
K993286,K941213
K993286,K922952
K993286,K935481
K993283,K912275
K993282,K962223
K993282,K903138
K993282,K850647
K993282,K864173
K993282,K934140
K993282,K862923
K993280,K915156
K993280,K095290
K993273,K950707
K993272,K964539
K993272,K920186
K993268,K962220
K993268,K942392
K993268,K983112
K993268,K943292
K993265,K954171
K993261,K931782
K993261,K982420
K993261,K962511
K993259,K983509
K993254,K943705
K993252,K973063
K993252,K982997
K993252,K971164
K993249,K910303
K993249,K982377
K993248,K962765
K993248,K913248
K993245,K925444
K993232,K964119
K993229,K964028
K993227,K945460
K993226,K810216
K993223,K980792
K993223,K952333
K993223,K982615
K993223,K980793
K993223,K981948
K993223,K982318
K993220,K933930
K993219,K793214
K993215,K493208
K993211,K830805
K993209,K779320
K993208,K933052
K993200,K293200
K993200,K719320
K993200,K944385
K993194,K924610
K993192,K875313
K993190,K972808
K993190,K913697
K993188,K981679
K993177,K936093
K993177,K925648
K993176,K980569
K993176,K931996
K993175,K943487
K993175,K982377
K993174,K955278
K993174,K993114
K993173,K922958
K993173,K982377
K993171,K964832
K993169,K952882
K993169,K964408
K993169,K790130
K993166,K973758
K993166,K972233
K993161,K913789
K993159,K915132
K993157,K445157
K993154,K946227
K993154,K952213
K993154,K921460
K993154,K894278
K993153,K972808
K993153,K892058
K993151,K990820
K993151,K980084
K993151,K990822
K993151,K992452
K993151,K990818
K993146,K981438
K993146,K946304
K993145,K983008
K993138,K922667
K993130,K943009
K993130,K932299
K993128,K493123
K993126,K960894
K993122,K980510
K993122,K962661
K993122,K980508
K993122,K997312
K993122,K972727
K993118,K891062
K993117,K493117
K993115,K973015
K993115,K934183
K993112,K990146
K993112,K980177
K993111,K936274
K993107,K960392
K993107,K980907
K993102,K983408
K993099,K493099
K993095,K950204
K993094,K393094
K993089,K992080
K993088,K895141
K993083,K993084
K993082,K934765
K993082,K921114
K993082,K932755
K993082,K990197
K993077,K773677
K993074,K961608
K993074,K901456
K993074,K890902
K993074,K890907
K993074,K882979
K993074,K925098
K993074,K864912
K993074,K943074
K993073,K981670
K993073,K984320
K993073,K970829
K993073,K971358
K993073,K943249
K993073,K952831
K993073,K933719
K993073,K955733
K993073,K954246
K993073,K982662
K993073,K982496
K993073,K973758
K993072,K971149
K993072,K981737
K993072,K971146
K993069,K961002
K993069,K951998
K993068,K973030
K993068,K964310
K993068,K970894
K993068,K962919
K993067,K992276
K993064,K942679
K993064,K991159
K993064,K981681
K993063,K143063
K993062,K870792
K993061,K982139
K993061,K982531
K993061,K972913
K993060,K832935
K993058,K964539
K993058,K920186
K993057,K925419
K993055,K993056
K993054,K980099
K993054,K925699
K993051,K971198
K993051,K940951
K993051,K960980
K993051,K971366
K993045,K910132
K993041,K904940
K993041,K843084
K993039,K902835
K993039,K972664
K993039,K961310
K993039,K963434
K993038,K771298
K993037,K890348
K993037,K926258
K993034,K949303
K993031,K913190
K993031,K980367
K993029,K980367
K993029,K913123
K993028,K980367
K993028,K993024
K993028,K913066
K993026,K980367
K993026,K913429
K993025,K941941
K993025,K991298
K993024,K952548
K993023,K193023
K993023,K983748
K993022,K983747
K993021,K955471
K993021,K946087
K993021,K943356
K993014,K992034
K993010,K950386
K993010,K934164
K993009,K963123
K993009,K982266
K993009,K965421
K993009,K861112
K993009,K791638
K993009,K961323
K993008,K852608
K993008,K960109
K993008,K973608
K993008,K894958
K993004,K960524
K993004,K954554
K993004,K972108
K993004,K890936
K993004,K935295
K993004,K884500
K993004,K850441
K993004,K926232
K993004,K922266
K993000,K493000
K993000,K974713
K992996,K963930
K992996,K951387
K992996,K950286
K992996,K981219
K992996,K972558
K992996,K955001
K992996,K945975
K992995,K842461
K992992,K973233
K992992,K931297
K992986,K983403
K992983,K982276
K992981,K965109
K992978,K941550
K992972,K971532
K992970,K980370
K992970,K970713
K992969,K992964
K992969,K925920
K992968,K954395
K992966,K960954
K992966,K962442
K992966,K962440
K992966,K984246
K992963,K914281
K992963,K972271
K992963,K914825
K992959,K842085
K992959,K970431
K992957,K862156
K992955,K974863
K992950,K983053
K992950,K984259
K992950,K983278
K992948,K895801
K992948,K935394
K992948,K921669
K992947,K952471
K992947,K974876
K992946,K991784
K992946,K930536
K992945,K980841
K992938,K983435
K992937,K984104
K992937,K925764
K992937,K930071
K992937,K945398
K992937,K925765
K992937,K974828
K992937,K925760
K992937,K925762
K992935,K983601
K992935,K953852
K992935,K852650
K992932,K781990
K992931,K970987
K992931,K982705
K992930,K853851
K992930,K992936
K992929,K964750
K992929,K921669
K992926,K991895
K992925,K991972
K992920,K964797
K992920,K971970
K992920,K982908
K992920,K984027
K992920,K990999
K992914,K885026
K992914,K934808
K992912,K740242
K992910,K984271
K992910,K932252
K992909,K973235
K992909,K962442
K992908,K942147
K992906,K790563
K992906,K830728
K992905,K792905
K992905,K971870
K992905,K972913
K992903,K492400
K992900,K811832
K992900,K172100
K992899,K872454
K992899,K952928
K992899,K974044
K992899,K972899
K992897,K954192
K992896,K945682
K992895,K853529
K992894,K922757
K992894,K883111
K992893,K963548
K992892,K931544
K992892,K942604
K992892,K980645
K992892,K960973
K992892,K940541
K992891,K953777
